非洲	Afrika
Chûng Sû-lâ-vî-sî-sén	Sulawesi Tengah
Kô-lùn-tá-lo̍k-sén	Gorontalo (provins)
Pet Sû-lâ-vî-sî-sén	Sulawesi Utara
Tûng-nàm Sû-lâ-vî-sî-sén	Sulawesi Tenggara
Nàm Sû-lâ-vî-sî-sén	Sulawesi Selatan
Sî Sû-lâ-vî-sî-sén	Sulawesi Barat
Vò-é	Ris
Mâ-lû-kú-sén	Moluckerna (provins)
Pet Mâ-lû-kú-sén	Maluku Utara
Pâ-pu-â-sén	Papua
Sî Pâ-pu-â-sén	Papua Barat
Dagestan Khiung-fò-koet	Dagestan
Sú-tû	Huvudstad
Monzón	Monzón
Phù-thò-ngà-ngî	Portugisiska
Ngie̍t	Månad
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Machatjkala
Chechnya Khiung-fò-koet	Tjetjenien
Grozny	Groznyj
Almazán	Almazán
Vòng Hien-fàm	Huang Xianfan
Ingushetia Khiung-fò-koet	Ingusjien
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Nordossetien
Kabardino-Balkaria Khiung-fò-koet	Kabardinien-Balkarien
Tson-sa̍k	Diamant
Bill Gates	Bill Gates
Ngi̍t-ngî	Japanska
Pak-khô-chhiòn-sû	Uppslagsverk
頭頁	Portal:Huvudsida
Karachay-Cherkessia Khiung-fò-koet	Karatjajen-Tjerkessien
Saratov	Saratov
Saratov-chû	Saratov oblast
Orenburg-chû	Orenburg oblast
Mordovia Khiung-fò-koet	Mordvinien
Saransk	Saransk
Yâ-khiù	Baseboll
Làm-khiù	Basket
Kirov-chû	Kirov oblast
Udmurtia Khiung-fò-koet	Udmurtien
Sî-pak-li-â	Sibirien
Mari El Khiung-fò-koet	Marij El
Yoshkar-Ola	Josjkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Sverdlovsk oblast
Cape Town	Kapstaden
Chuvash Khiung-fò-koet	Tjuvasjien
Durban	Durban
Cheboksary	Tjeboksary
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstan
Penza-chû	Penza oblast
Là-fî-ngì	Rafael (konstnär)
Pí-tet Lû-pún-sṳ̂	Peter Paul Rubens
Ulyanovsk-chû	Uljanovsk oblast
Gung-gung-hi-tsaa	Buss
Kâ-thai-lò-nì-â	Katalonien
Bashkortostan Khiung-fò-koet	Basjkirien
Chelyabinsk-chû	Tjeljabinsk oblast
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Valencia (autonom region)
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Kastilien och León
Kurgan-chû	Kurgan oblast
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Tiumen oblast
Omsk-chû	Omsk oblast
Thai-mí-ngì-ngî	Tamil
Chet-ho̍k	Filosofi
分類:Candidates for speedy deletion	Kategori:Snabbraderingar
Altai Khiung-fò-koet	Altajrepubliken
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altajsk
Kemerovo-chû	Kemerovo oblast
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Kapitalism
Koet-kâ	Land
Mìn-chhu̍k	Nation
Khanty-Mansi Chhṳ-chhṳ-khî	Chantien-Mansien
Yamalo-Nenets Chhṳ-chhṳ-khî	Jamalo-Nentsien
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Kategori:Astronomi
Khakassia Khiung-fò-koet	Chakassien
Irkutsk-chû	Irkutsk oblast
Sakha Khiung-fò-koet	Sacha
Khiet-lò-âi-sî-â-ngî	Kroatiska
Hon-pó	Hamburgare
Buryatia Khiung-fò-koet	Burjatien
Vû-làn Vû-tet	Ulan-Ude
Amur-chû	Amur oblast
Ngi-sṳ̍p Sṳ-ki	1900-talet
Gotha	Gotha
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Katalanska
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Girona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Cellbiologi
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Världsbanken
A-la-pak Liên-mên	Arabförbundet
Mìn-tsú Tsú-ngi	Demokrati
Chhîn-chhèu (秦朝)	Qindynastin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	Nato
Chhìn Sṳ Fòng	Qin Shi Huangdi
Hon-chhèu	Handynastin
Hon Vú-ti Liù Chha̍t	Han Wudi
Sâng-vu̍t	Organism
Kiûn-chú-chṳ	Monarki
Khiung-fò-koet	Republik
Yí-mô-khiù	Badminton
Ngièn-chhèu	Yuandynastin
Nazi Tet-koet	Nazityskland
Yù-thai-ngìn	Judar
Chang Fò	Zheng He
Chìn-chhèu	Jindynastin (265–420)
Ngí	Öra
Phi	Nos
Ngién	Öga
Mûn-é	Stickmyggor
Mièn-yòng	Tamfår
Lo̍k-thò	Kameler
Phú-nen thung-vu̍t	Däggdjur
Ngie-kûng	Myror
Hò-làn-ngî	Nederländska
Fà-thi̍t Thit-sṳ-nì Kûng-sṳ̂	Walt Disney Company
Thot-yong Fu̍t-thông Fu̍t-son	DNA
Khiô	Aubergine
Siet	Snö
Â-pâ	Fader
Fûn	Minut
Yù-thai Chhṳ-chhṳ-chû	Judiska autonoma länet
Ngò-lò-sṳ̂-ngî	Ryska
Tûng-nàm-â Koet-kâ Lièn-mèn	Association of Southeast Asian Nations
Sakhalin-chû	Sachalin oblast
Mien-pâu	Bröd
Sṳ-kie Mo-yi Chû-chṳt	Världshandelsorganisationen
漢語	Kinesiska
Se-pâu	Cell
Hiet-yi̍t	Blod
Hi	Lunga
Lò-mâ-nì-â-ngî	Rumänska
Pó-kâ-li-â-ngî	Bulgariska
Magadan-chû	Magadan oblast
Chhṳ-yèn Khô-ho̍k	Naturvetenskap
