ܐܦܪܝܩܐ	Afrika
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago de Chile
ܚܐܪܘܬܐ	Frihet
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Grön
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Röd
ܢܘܪܐ (ܕܠܩܐ)	Eld
ܢܝܠܘܣ	Nilen
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Alger, Algeriet
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunis
ܛܗܪܐܢ	Teheran
ܐܢܩܪܐ	Ankara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damaskus
ܥܡܐܢ	Amman
ܒܝܪܘܬ	Beirut
ܒܝܬ ܨܘܒܐ	Universitet
ܒܝܬܐ (ܒܢܝܢܐ)	Hus
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Australien (kontinent)
ܢܗܪܐ	Flod
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Godahoppsudden
ܫܘܚܡܠܐ	Investering
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Skog
ܩܘܢܦܘܫܝܘܣ	Konfucius
ܩܢܐ	Rede
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Medelhavet
ܓܘܪܓܝܐ	Georgia (olika betydelser)
ܡܫܝܚܝܘܬܐ	Kristendom
ܪܘܙܐ	Ris
ܝܒܫܬܐ	Världsdelar och kontinenter
ܛܝܪܐ	Fåglar
ܐܪܫܟܝܬܐ	Huvudstad
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	Portugisiska
ܝܪܚܐ	Månad
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	Mustafa Kemal Atatürk
ܐܠܡܐܙܢ	Almazán
ܠܫܢܐ ܝܦܢܝܐ	Japanska
ܦܐܬܐ ܪܝܫܝܬܐ	Portal:Huvudsida
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	Francisco de Goya
ܝܡܐ ܐܚܪܝܐ	Kaspiska havet
ܝܡܬܐ ܕܐܝܪܝ	Eriesjön
ܣܠܒܐܕܘܪ ܕܐܠܝ	Salvador Dalí
ܒܢܣܢܬ ܦܢ ܟܘܟ	Vincent van Gogh
ܦܪܝܕܐ ܩܐܠܘ	Frida Kahlo
ܗܢܪܝ ܡܐܛܝܣ	Henri Matisse
ܡܝܟܠܐܢܓܠܘ	Michelangelo
ܦܒܠܘ ܦܝܩܐܣܘ	Pablo Picasso
ܪܡܒܪܢܛ	Rembrandt
ܐܢܕܝ ܘܘܪܗܘܠ	Andy Warhol
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	Nineve
ܒܒܠ	Babylon
ܐܝܪܝܚܘ	Jeriko
ܩܛܠܘܢܝܐ	Katalonien
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	Madrid (autonom region)
ܒܝܬ ܠܚܡ	Betlehem
ܣܕܪܐ:Candidates for speedy deletion	Kategori:Snabbraderingar
ܪܫܡܠܘܬܐ	Kapitalism
ܐܘܡܬܐ	Nation
ܩܪܬܐܓܘ	Karthago
