ཞི་པི་ཨ་ཨ་ཧྥེ་རི་ཁ་ནུའོ་སི།	Scipio Africanus
མིན་སིཀ།	Minsk
རྫས་འགྱུར་རིག་པ།	Kemi
༡༩༨༩	1989
༡༩༨༡	1981
མོ་ག་དི་ཤུ།	Mogadishu
ན་སའོ། (བ་ཧ་མཱ་སི།)	Nassau, Bahamas
ས་ནཱ།	Sanaa
ཐ་ར་ཝ།	Tarawa
རྐང་རྩེད་སྤོ་ལོ།	Fotboll
ཡཱ་ཁོ་དང་ཝེ་ལེམ་.ཀོ་ལིམ།	Bröderna Grimm
མ་ད་རིད།	Madrid
ཁོལ་ཁོལ་ཁུ་ནག	Coca-Cola
མའེ་ཁོའོ་ཅས་ཁ་ཤུན།	Michael Jackson
ཚད་རིམས།	Influensa
པོ་གོ་ཏ	Bogotá
པུ་རུ་ཟི་ལི་ཡ།	Brasília
ལི་མ།	Lima
སཱན་ཏི་ཡ་གོ (ཅི་ལི།)	Santiago de Chile
ཁེ་ཐོ།	Quito
སུ་ཁུ་རེ།	Sucre
བ་ཕྱུགས་	Mjölkboskap
ཨ་སུན་སི་འན།	Asunción
ར་མ།	Tamget
ཝེ་ཧི་ས་ཡེ་ཕོ་བྲང་།	Slottet i Versailles
རང་དབང་།	Frihet
པེ་ར་མེ་རི་བོ།	Paramaribo
ཀ་ཏ་མན་ཏུ།	Katmandu
པེར་མོ་ཕན།	Belmopan
སན་ཇོ་སེ། (ཁོ་ས་ཏ་རི་ཁ།)	San José, Costa Rica
སན་སལ་ཝ་ཌོར།	San Salvador
ཁན་པེ་ར།	Canberra
སིད་ནེ།	Sydney
ལྗང་ཁུ།	Grön
མེར་བུན	Melbourne
དམར་པོ།	Röd
ཨ་ཝེ་རོང་།	Aveyron
ཐེ་གུ་སི་གེ་པ།	Tegucigalpa
མ་ན་གུ་འ།	Managua
པ་ན་མ། (གྲོང་རྡལ།)	Panama City
ཁོང་ཀོ་གཙང་པོ།	Kongofloden
ར་བ་ཐེ།	Rabat
ཨཱལ་ཇི་ཡར་སི།	Alger, Algeriet
ཊུ་ནིསི།	Tunis
ཐི་རི་ཕོ་ལི	Tripoli
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	Djibouti (stad)
ཏེ་ཧི་རན།	Teheran
ཨ་ཌི་སི་ཨ་བ་བ།	Addis Abeba
ཊ་ཁར་ཏ།	Jakarta
ཨན་ཁ་ར།	Ankara
ཨཱ་སི་མི་ར།	Asmara
ཇ་མི་ན།	N'Djamena
ནི་ཡ་མེ།	Niamey
ནའུ་ཀ་ཅོ་ཊི།	Nouakchott
རིས་ཡག	Riyadh
བ་མ་ཀོ།	Bamako
བེལ་གེ་རེ་ཌི།	Belgrad
ཌ་ཀར།	Dakar
བཱན་ཇཱུ་ལ།	Banjul
ཀོ་ནཀ་རི།	Conakry
བི་སའོ།	Bissau
Category:སྒྲོམ་གཞི།	Kategori:Mallar
མོང་རོ་ཝི་ཡ།	Monrovia
ཕུ་ར་ཡ།	Praia
ཇ་ཝ།	Java
ཨ་ཁ་ར།	Accra
དྷ་མ་སི་ཁོ་སི།	Damaskus
ཡམ་སོ་ཁེ་རོ།	Yamoussoukro
ཨོ་འ་ག་དོའུ་གོའུ།	Ouagadougou
ཕིརི་ཊའུན།	Freetown
ཡ་མ་སོན་གཙང་པོ།	Amazonfloden
ཨ་པུ་ཅ།	Abuja
ལཱོ་མེ།	Lomé
པོར་ཊོ་-ནོ་བོ།	Porto-Novo
