ਅਫ਼ਰੀਕਾ	Afrika
ਗੁੰਨਾਰ ਮਿਰਦਲ	Gunnar Myrdal
ਜ਼ੀਰੋ ਡਾਰਕ ਥਰਟੀ	Zero Dark Thirty
ਐੱਚ.ਡੀ.ਆਈ-ਆਰੇਨਾ	HDI-Arena
ਪਾਕੋ ਦੇ ਲੂਸੀਆ	Paco de Lucía
ਮਾਰਟਿਨ ਨੀਮੋਲਰ	Martin Niemöller
ਬੌਖ਼ੂਸੀਆ-ਪਾਰਕ	Borussia-Park
ਮੋਸੀਨ–ਨਾਗੋਨ	Mosin-Nagant
ਚਿੰਤਾ	Ångest
ਆਲੂ ਖਾਣੇ	Potatisätarna
ਵੇਜ਼ਾਸ਼ਟਾਡੀਓਨ	Weserstadion
ਲੀਓਪੋਲਡ ਸੈਨਘੋਰ	Léopold Senghor
ਕਾਰਲੋਸ ਫਿਊਨਤੇਸ	Carlos Fuentes
ਨੌਰਮਨ ਬੋਰਲੌਗ	Norman Borlaug
ਹੇਪਾਟਾਈਟਿਸ ਸੀ	Hepatit C
ਲੈਨਿਨਵਾਦ	Leninism
ਗਿਓਰਗੀ ਦਮਿਤਰੋਵ	Georgi Dimitrov
ਇਮਰਾਨ ਖ਼ਾਨ	Imran Khan
ਰੋਹਤਾਸ ਕਿਲ੍ਹਾ	Rohtas fort
ਕੁਲਡਿਗਾ	Kuldīga
ਚਿਨੁਆ ਅਚੇਬੇ	Chinua Achebe
ਕਾਰਲ ਚਾਪੇਕ	Karel Čapek
ਜਾਰਜ ਫ੍ਰਾਸਟ ਕੇਨੰਨ	George F. Kennan
ਆਜ਼ਾਦ ਹਿੰਦ ਫ਼ੌਜ	Indian National Army
ਤਕਸ਼ਿਲਾ	Taxila
ਰੋਮਨ ਜੈਕਬਸਨ	Roman Jakobson
ਕਥਾਰਸਿਸ	Katarsis
ਮੰਨਾ ਡੇ	Manna Dey
ਧਰਤੀ ਦਾ ਇਤਿਹਾਸ	Jordens historia
ਕਾਰਨ ਵਿਗਿਆਨ	Etiologi
ਚੁਲਾਈ	Amarantsläktet
ਲਤਾ ਮੰਗੇਸ਼ਕਰ	Lata Mangeshkar
ਸਰਵੇਪੱਲੀ ਰਾਧਾਕ੍ਰਿਸ਼ਣਨ	Sarvepalli Radhakrishnan
ਕਲੀਸ਼ੇ	Kliché (språk)
ਕਸੁੰਭ	Safflor
ਬਾਈਆਰੇਨਾ	Bayarena
ਤਾਰਾਮੀਰਾ	Senapskål
ਸੈਮੂਅਲ ਹੈਨੇਮੈਨ	Samuel Hahnemann
ਕਾਮਰਸਬਂਕ-ਆਰੇਨਾ	Commerzbank-Arena
ਸ਼ਗਨ	Förlovning
ਜ਼ਿਗਮੁੰਤ ਬਾਓਮਨ	Zygmunt Bauman
ਦੇਜਾ ਵੂ	Déjà vu
ਤੱਬੂ	Tabu (skådespelare)
ਗਵਾਲੀਅਰ	Gwalior
ਵਲੋਰੇ ਜ਼ਿਲਾ	Vlorë distrikt
ਬਾਥੂ	Svinmålla
ਅਫ਼ਗ਼ਾਨਿਸਤਾਨ ਦੇ ਸੂਬੇ	Afghanistans provinser
ਟੋਰਟ	Ersättningsrätt
ਸਪੋਟੇਸੀ	Sapotaceae
ਵਿਦਿਆ ਬਾਲਨ	Vidya Balan
ਫ਼ਿਲਪੀਨ ਸਾਗਰ	Filippinska sjön
ਅਲਕਾਈਨ	Alkyn
ਜਣਨ ਇੰਜੀਨੀਅਰੀ	Genteknik
ਚੁਕਚੀ ਸਮੁੰਦਰ	Tjuktjerhavet
ਸੋਸ਼ਲਿਸਟ ਇੰਟਰਨੈਸ਼ਨਲ	Socialistinternationalen
ਖੁਰਾਕ ਲੜੀ	Näringskedja
ਅਜਮਾਨ	Ajman
ਪਾਨ	Piper betle
ਸਾਜ਼ਿਸ਼ ਪ੍ਰਸਤਾਵ	Konspirationsteori
ਜੇਟ ਲੀ	Jet Li
ਅੰਨਪੂਰਨਾ	Annapurna
ਪੂਰਨ ਚਮਕ	Absolut magnitud
ਕਾਲਾ ਮੋਤੀਆ	Glaukom
ਮੌਨਾ ਲੋਆ	Mauna Loa
ਅਰਥਚਾਰਾ	Ekonomi
ਸਿੰਘ	Lejonet (stjärntecken)
ਉਲੰਪਿਕ ਖੇਡਾਂ	Olympiska sommarspelen
ਕਾਮ ਨੋਊ	Camp Nou
ਜੂਲੀਆ ਕ੍ਰਿਸਤੇਵਾ	Julia Kristeva
ਸਟੇਡੀਓ ਓਲੰਪਿਕੋ	Roms Olympiastadion
ਟਵਾਈਲਾਈਟ (ਫ਼ਿਲਮ)	Twilight
ਫ਼ਤਿਹ ਕੁਸਤੁਨਤੁਨੀਆ	Konstantinopels fall
ਮੈਨ ਬੁੱਕਰ ਇਨਾਮ	Bookerpriset
ਮੈਦਾਨ	Slätt
ਪਰਾਦੋ ਅਜਾਇਬ-ਘਰ	Pradomuseet
ਬਾਲ ਪੈੱਨ	Kulspetspenna
ਧਰਤ ਘੰਟਾ	Earth Hour
ਰਾਮ	Rama
ਡੇਵਿਡ ਰਿਕਾਰਡੋ	David Ricardo
ਦਮਾਮ	Dammam
ਬੋਧ	Perception
ਅਲ-ਫ਼ਾਰਾਬੀ	Al Farabi
ਮੁਹੰਮਦ ਅਲੀ ਜਿੰਨਾਹ	Muhammed Ali Jinnah
ਕਲੌਂਜੀ	Svartkummin
ਰੋਜ਼ੇ ਗਾਰੋਦੀ	Roger Garaudy
ਨਵ-ਖੱਬੇਪੱਖੀ	Nya vänstern
ਲੰਡਨ ਆਈ	London Eye
ਬੈਲਾਰੂਸੀ ਰੂਬਲ	Vitrysk rubel
ਸ਼ਹਿਰੀਕਰਨ	Urbanisering
ਅਮਲਤਾਸ	Cassia fistula
ਪਛਾਣ-ਸ਼ਬਦ	Lösenord
ਪੋਹਲੀ	Safflorsläktet
ਸਮਾਜਕ ਮਨੋਵਿਗਿਆਨ	Socialpsykologi
ਜਿਬਗਨਿਉ ਹਰਬਰਟ	Zbigniew Herbert
ਕ੍ਰੈਡਿਟ ਕਾਰਡ	Kreditkort
ਚਿਉਨ ਸ਼ੁਗੀਹਾਰਾ	Chiune Sugihara
ਏਸ਼ੀਆਈ ਚੌਲ	Oryza sativa
ਟਰੀਟੀਕਮ ਪੋਲੋਨੀਕਮ	Triticum polonicum
ਟੂੰਮਾਂ	Smycken
ਜੰਗ ਤੇ ਅਮਨ	Krig och fred
ਪੈਤਰਿਸ ਲਮੂੰਬਾ	Patrice Lumumba
ਕਰਕ	Kräftan (stjärntecken)
ਪਾਮੀਰ ਪਹਾੜ	Pamir
ਐਡਵਰਡ ਗਿਬਨ	Edward Gibbon
ਗਰੇਟ ਬ੍ਰਿਟੇਨ ਦੀ ਸੰਯੁਕਤ ਰਾਜਸ਼ਾਹੀ	Kungariket Storbritannien
ਕੁੰਭ	Vattumannen (stjärntecken)
ਡੇਕ	Zedrak
ਨਿਕੀ ਮਿਨਾਜ	Nicki Minaj
ਅਲਾਹਾਬਾਦ	Allahabad
ਦੇਹਰਾ	Mausoleum
ਮਾਸਾਈ ਲੋਕ	Massajer
ਪ੍ਰਸਰਣ (ਵਿਗਿਆਨ)	Diffusion
ਸੋਨੀਆ ਗਾਂਧੀ	Sonia Gandhi
ਬਲੋਚਿਸਤਾਨ (ਪਾਕਿਸਤਾਨ)	Baluchistan
ਅਜਨਬੀ (ਨਾਵਲ)	Främlingen
ਐਜ਼ਰਾ ਪਾਊਂਡ	Ezra Pound
ਪੂਰਬੀ ਸਾਈਬੇਰੀਆਈ ਸਮੁੰਦਰ	Östsibiriska havet
ਡੀ.ਡੀ.ਟੀ.	Diklordifenyltrikloretan
ਮਲੇਸ਼ੀਆਈ ਰਿਙਿਤ	Ringgit
ਜੂਜੁਤਸੂ	Jujutsu
ਸਿਲੀਕਾਨ ਘਾਟੀ	Silicon Valley
ਦ ਡਾਰਕ ਨਾਈਟ	The Dark Knight
ਕਮਿਊਨਿਸਟ ਇੰਟਰਨੈਸ਼ਨਲ	Tredje internationalen
ਅਮੀਰਾਤ ਸਟੇਡੀਅਮ	Emirates Stadium
ਵ੍ਰਸ਼	Oxen (stjärntecken)
ਸਾਂਤੀਆਗੋ ਬੈਰਨਾਬੇਊ ਸਟੇਡੀਅਮ	Santiago Bernabéu-stadion
ਅਲੈਗਜ਼ੈਂਡਰ ਪੋਪ	Alexander Pope
ਤੀਆਨਾਨਮੇਨ ਚੌਕ	Himmelska fridens torg
ਅ ਬਿਊਟੀਫ਼ੁਲ ਮਾਈਂਡ	A Beautiful Mind
ਮਾਰਕ ਵਾਲਬਰਗ	Mark Wahlberg
ਮਕਰ	Stenbocken (stjärntecken)
ਫ਼ੰਕ	Funk
ਕਰਤਾ (ਵਿਆਕਰਨ)	Subjekt (satsdel)
ਖੱਬੇ-ਪੱਖੀ ਰਾਜਨੀਤੀ	Politisk vänster
ਦ ਵਾਲ ਸਟਰੀਟ ਜਰਨਲ	The Wall Street Journal
ਅਲੈਗਜ਼ੈਂਡਰ ਬਲੋਕ	Aleksandr Blok
ਐਸ਼ਟਨ ਕਚਰ	Ashton Kutcher
ਪਾਓਲੋ ਫਰੇਰੇ	Paulo Freire
ਪ੍ਰਤੀਕਵਾਦ (ਕਲਾ)	Symbolism
ਓਲੀਵਰ ਟਵਿਸਟ	Oliver Twist
ਕਾਰਲ ਸ਼ਪਿਟਸਵੇਕ	Carl Spitzweg
ਨਾਇਕੀ (ਮਿਥਹਾਸ)	Nike
ਬੈਕਟੀਰਿਓਫੇਜ਼	Bakteriofag
ਗ੍ਰੀਨਹਾਊਸ	Växthus
ਮੋਜ਼ੈਂਬੀਕ ਨਹਿਰ	Moçambiquekanalen
ਯੂਕਾਤਾਨ	Mérida (Mexiko)
ਯਾਕ ਪਰੇਵੈਰ	Jacques Prévert
ਅਪਰਾਧ ਅਤੇ ਦੰਡ	Brott och straff
ਬਾਈਕੋਨੂਰ	Bajkonur
ਧੌਲਾਗਿਰੀ	Dhaulagiri
ਤਿਕਰੀਤ	Tikrit
ਅਜ਼ਾਨ	Adhan
ਜੈਵਿਕ ਖੇਤੀ	Ekologiskt jordbruk
ਮਾਈਕਰੋ ਕੰਟ੍ਰੋਲਰ	Mikrokontroller
ਬਰਤਾਨਵੀ ਅੰਟਾਰਕਟਿਕ ਰਾਜਖੇਤਰ	Brittiska Antarktis
ਸੇਵਿੰਗ ਪ੍ਰਾਈਵੇਟ ਰਾਇਨ	Rädda menige Ryan
ਰੰਗਾਵਲ	Prisma (optik)
ਦ ਵਾਸ਼ਿੰਗਟਨ ਪੋਸਟ	The Washington Post
ਵਿਸ਼ਵ ਪੁਸਤਕ ਦਿਵਸ	Världsbokdagen
ਕਾਮੀਲੋ ਬੈਨਸੋ, ਕਾਵੂਰ ਦਾ ਕਾਊਂਟ	Camillo di Cavour
ਬੈਟਮੈਨ ਬਿਗਿਨਜ਼	Batman Begins
ਘੜਮੱਸ ਸਿਧਾਂਤ	Kaosforskning
ਡੋਪਿੰਗ (ਖੇਡਾਂ)	Dopning
ਅਮੀਰ (ਪਦਵੀ)	Emir
ਰੈੱਡ ਸ਼ੋਰਗਮ (ਫਿਲਮ)	Det röda fältet (film)
ਡੇਲਵਾਇਨ ਜ਼ਿਲਾ	Delvinë distrikt
ਸ਼ਤ ਅਲ-ਅਰਬ	Shatt al-Arab
ਜ਼ਾਗਰਸ ਪਹਾੜ	Zagros
ਬਾਰਬੀ	Barbiedocka
ਨੂਰਿਸਤਾਨ ਸੂਬਾ	Nurestan (provins)
ਵਿਜੈਨਗਰ ਸਾਮਰਾਜ	Vijayanagar
ਤੀਰੂਵੰਥਪੁਰਮ	Thiruvananthapuram
ਵਿਲੀਅਮ ਮੇਕਪੀਸ ਥੈਕਰੇ	William Thackeray
ਆਰਥੋਪਟੇਰਾ	Hopprätvingar
ਬੁਰਕਾ	Burka
ਗਿੱਟਾ	Vrist
ਸਵੇਜ਼ ਦੀ ਖਾੜੀ	Suezviken
ਡੱਡੀ	Grodyngel
ਹਰਜੀਸਾ	Hargeisa
ਗੁੱਡੀ	Docka
ਰੌਬਰਟ ਫ਼ਰੌਸਟ	Robert Frost
ਕੈਲੀਫ਼ੋਰਨੀਆ ਯੂਨੀਵਰਸਿਟੀ, ਬਰਕਲੇ	University of California, Berkeley
ਐਨਾਫ਼ਾਈਲੈਕਸਿਸ	Anafylaxi
ਇਸਕੀ ਸ਼ਹਿਰ	Eskişehir
ਵਿਤਕਰਾ	Diskriminering
ਮੂਰ	Morer
ਹਾਈਡਰੋਜਨ ਜੋੜ	Vätebindning
ਰਲਾਵਟ	Blandning
ਮਾਇਲੇੱਟਸ	Miletos
ਸੇਂਟ ਲਾਰੰਸ ਦੀ ਖਾੜੀ	Saint Lawrenceviken
ਯਾਕ ਲਾਕਾਂ	Jacques Lacan
ਦੱਖਣੀ ਪਠਾਰ	Deccan
ਦਾਰਜੀਲਿੰਗ	Darjeeling
ਗਣਿਤਕ ਲੜੀ	Aritmetisk följd
ਰਾਸ ਅਲ-ਖ਼ੈਮਾ	Ras al-Khaimah
ਸ੍ਰੀਨਗਰ	Srinagar
ਮਹਾਂਸੰਘ	Konfederation
ਟਰਾਈਨਾਈਟਰੋਟੌਲਵੀਨ	Trinitrotoluen
ਬੋਰਿਸ ਗੋਦੂਨੋਵ	Boris Godunov
ਅਬਸਿਨਤੀਨ	Absint
ਟਾਰਜ਼ਨ	Tarzan
ਚੀਨਾਨ	Jinan
ਸ਼ੇਖ ਸਾਦੀ	Shaikh Sa'di
ਜਲਗਾਹਾਂ	Våtmark
ਕਿੰਗਦਾਓ	Qingdao
ਸਰੈਬਰੇਨੀਤਸਾ ਕਤਲਾਮ	Srebrenicamassakern
ਅਹਵਾਜ਼	Ahvaz
ਲੈਅ	Rytm
ਕਿਰਿਆਸ਼ੀਲ ਸਮੂਹ	Funktionell grupp
ਬਾਲਕਨ ਪਹਾੜ	Balkanbergen
ਸ਼ਿਕਾਰਖ਼ੋਰੀ	Predation
ਅਗਰਤਲਾ	Agartala
ਐਦਿਨ	Aydın
ਨਿੰਮ	Neem
ਪਾਰਵਤੀ	Parvati
ਹੈਨਰੀ ਜੇਮਜ਼	Henry James
ਅਮਾਸਿਆ	Amasya
ਪੈਰੋਡੀ	Parodi
ਯਜ਼ਦ ਸੂਬਾ	Yazd (provins)
ਪ੍ਰਾਈਡ ਐਂਡ ਪ੍ਰੈਜੁਡਿਸ	Stolthet och fördom
ਕੋਲਾਜ	Kollage
ਸਿਰਜਣਸ਼ੀਲਤਾ	Kreativitet
ਸਾਂਤਾ ਕਰੂਸ, ਬੋਲੀਵੀਆ	Santa Cruz de la Sierra
ਘੁਲਣਸ਼ੀਲਤਾ	Löslighet
ਕੀਟੋਨ	Keton
ਕਰਾਮਾਤ	Mirakel
ਹਿਸਾਬਦਾਨ	Matematiker
ਆਇਰਿਸ਼ ਲੋਕ	Irländare
ਦੇਨਿਜਲੀ	Denizli
ਆਬਲਿਸਕ	Obelisk
ਗਠੀਆ	Ledinflammation
ਬਾਇਓ ਗੈਸ	Biogas
ਪ੍ਰਤੱਖ ਲੋਕਰਾਜ	Direktdemokrati
ਫੁਕੂਸ਼ੀਮਾ ਰੀਐਕਟਰ ਲੀਕ	Fukushima-olyckan
ਵਰਜਣ	Tabu
ਨਾਗਾਰਜੁਨ (ਦਾਰਸ਼ਨਿਕ)	Nagarjuna
ਬਾਣਭੱਟ	Banabhatta
ਲੰਡਨ ਸਟਾਕ ਐਕਸਚੇਂਜ	London Stock Exchange
ਸਟੈਮਫ਼ੋਰਡ ਬ੍ਰਿਜ (ਸਟੇਡੀਅਮ)	Stamford Bridge
ਸੂਰਜਮੁਖੀ	Solros
ਮਾਦਰੀਦ ਦਾ ਸ਼ਾਹੀ ਮਹਿਲ	Palacio Real de Madrid
ਹਾਦਸਾ	Olycka
ਮਾਰਾਕਾਈਬੋ	Maracaibo
ਸਤਲੁਜ ਦਰਿਆ	Sutlej
ਮੈਥੀਊ ਪੈਰੀ	Matthew Perry (skådespelare)
ਅਹਿਮਦੀਆ	Ahmadiyya
ਭੁਬਨੇਸ਼ਵਰ	Bhubaneswar
ਆਗਰੇ ਦਾ ਕ਼ਿਲਾ	Röda fortet i Agra
ਹਾਈਡਰੋਜਨ ਪਰਆਕਸਾਈਡ	Väteperoxid
ਧਰਮ ਦੀ ਆਜ਼ਾਦੀ	Religionsfrihet
ਨਾਨਛਾਂਙ	Nanchang
ਲੁਕਣ ਮੀਚੀ	Kurragömma
ਅਲੈਗਜ਼ੈਂਡਰ ਓਸਤਰੋਵਸਕੀ	Aleksandr Ostrovskij
ਐਲ (ਸਿਰਿਲਿਕ)	Л
ਕੋਰਲ ਸਾਗਰ ਟਾਪੂ	Korallhavöarna
ਦ ਸ਼ੌਸ਼ੈਂਕ ਰਿਡੈਂਪਸ਼ਨ	Nyckeln till frihet
ਕਪੂਰਥਲਾ ਜ਼ਿਲ੍ਹਾ	Kapurthala (distrikt)
ਪਟਿਆਲਾ ਜ਼ਿਲ੍ਹਾ	Patiala (distrikt)
ਜਿਰੌਂਦੈਂ ਦੇ ਬੋਰਦੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	FC Girondins de Bordeaux
ਲੁਧਿਆਣਾ ਜ਼ਿਲ੍ਹਾ	Ludhiana (distrikt)
ਫ਼ਤਹਿਗੜ੍ਹ ਸਾਹਿਬ ਜ਼ਿਲ੍ਹਾ	Fatehgarh Sahib
ਫ਼ਰੀਦਕੋਟ ਜ਼ਿਲ੍ਹਾ	Faridkot (distrikt)
ਸਰਬੀਆਈ ਦਿਨਾਰ	Serbisk dinar
ਬੁਲਗਾਰੀਆਈ ਲੇਵ	Lev (valuta)
ਝਾੜ-ਫੂਕ	Exorcism
ਐਲੇਸਟਰ ਕ੍ਰੌਲੀ	Aleister Crowley
ਥਾਰ ਮਾਰੂਥਲ	Thar
ਓ ਹੈਨਰੀ	O. Henry
ਸਾੜੀ	Sari
ਬਾਈਸਾਈਕਲ ਥੀਵਜ਼	Cykeltjuven
ਦਾ ਨੇਮ ਆਫ਼ ਦਾ ਰੋਜ਼	Rosens namn
ਮਨਸੂਰ	Al-Halladj
ਤੁਰਕੀ ਲੀਰਾ	Turkisk lira
ਕਟਿਹਾਰ	Katihar
ਸਾਹ-ਨਾਲ਼ੀ ਦੀ ਸੋਜ	Bronkit
ਗਲਾਸਨੋਸਤ	Glasnost
ਬ੍ਰਾਜ਼ੀਲੀ ਰਿਆਲ	Real
ਖ਼ੁਦਮੁਖ਼ਤਿਆਰਸ਼ਾਹੀ	Envälde
ਤਾਮਿਲ ਲੋਕ	Tamiler
ਮਾਰਵਲ ਕੌਮਿਕਸ	Marvel Comics
ਖਾਣਜੋਗ ਸਮਾਨ ਦੀ ਹਿਫਾਜ਼ਤ	Konservering
ਰੇਖਕੀ ਲੜੀ	Geometrisk funktion
ਗਜ਼ਨੀ	Ghazni
ਕਜ਼ਾਖ਼ਸਤਾਨੀ ਤੇਂਗੇ	Tenge
ਮਨੋਰੰਜਨ	Underhållning
ਕਾਪੀਸਾ	Kapisa (provins)
ਰੇਡੀਅਸ	Radie
ਹੇਲਮੰਦ ਸੂਬਾ	Helmand (provins)
ਅਲਫ਼ਰੈਡ ਟੈਨੀਸਨ	Alfred Tennyson
ਚੇ (ਸਿਰਿਲਿਕ)	Ч
ਸ਼ਾ (ਸਿਰਿਲਿਕ)	Ш
ਫ਼ੈਸਲਾਬਾਦ	Faisalabad
ਯਾਂ ਤਿਰੋਲ	Jean Tirole
ਏਲਾਜਿਗ	Elâzığ
ਐਂਨ (ਸਿਰਿਲਿਕ)	Н
ਛਾਂਙਸ਼ਾ	Changsha
ਪ੍ਰੇਮਚੰਦ	Munshi Premchand
ਗ੍ਰੇਟ ਬ੍ਰਿਟੇਨ ਅਤੇ ਆਇਰਲੈਂਡ ਦੀ ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Förenade kungariket Storbritannien och Irland
ਕਾਰਬਨੀ ਯੋਗ	Kolföreningar
ਐਫ (ਸਿਰਿਲਿਕ)	Ф
ਅਲਮਾ ਮਾਤਰ	Alma mater
ਰਾਂਚੀ	Ranchi
ਤੌਹੀਦ	Tawhīd
ਲੰਡਨ ਸਕੂਲ ਆਫ਼ ਇਕਨਾਮਿਕਸ	London School of Economics
ਮੋਬੀ ਡਿੱਕ	Moby Dick
ਮਨੀਰਤਨਮ	Mani Ratnam
ਆਸਟਰੇਲੀਆ ਦਾ ਇਤਿਹਾਸ	Australiens historia
ਦੁੱਧ ਚੁੰਘਾਉਣਾ	Amning
ਉਮ ਅਲ-ਕਿਵੇਨ	Umm al-Qaywayn
ਗੁਰਨੀਕਾ	Guernica (målning)
ਵਿਲਾ ਪਾਰਕ	Villa Park
ਫਾਟਕ:ਇਤਿਹਾਸ	Portal:Historia
ਵਿਟਾਮਿਨ ਡੀ	Vitamin D
ਪੂਰਬੀ ਅਜ਼ਰਬਾਈਜਾਨ ਸੂਬਾ	Östazarbaijan
ਥੀਸੈਨ-ਬੋਰਨੇਮੀਸਾ ਅਜਾਇਬਘਰ	Museo Thyssen-Bornemisza
2010 ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ	Världsmästerskapet i fotboll 2010
ਉੱਪ-ਪਰਮਾਣੂ ਕਣ	Subatomär partikel
ਵਿਕਾਸਸ਼ੀਲ ਦੇਸ਼	Utvecklingsland
ਮਨੁੱਖੀ ਪਰਵਾਸ	Mänsklig migration
ਰੋਗ-ਪਛਾਣ	Medicinsk diagnostik
ਲੋਰੈਂਸੋ ਦੇ ਮੇਦੀਚੀ	Lorenzo de' Medici
ਤੀਹਰਾ ਸਮਝੌਤਾ	Ententen
ਮਕਦੂਨੀਆਈ ਦਿਨਾਰ	Makedonisk denar
ਥਾਈ ਬਾਤ	Baht
ਯੋਗਤਾਰਾਜ	Meritokrati
ਵਿਨ ਡੀਜ਼ਲ	Vin Diesel
ਓ (ਸਿਰਿਲਿਕ)	О
ਸਪੇਨੀ ਫਲੂ	Spanska sjukan
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ	Samväldesspelen
ਮੁਹੰਮਦ ਫ਼ਜ਼ੂਲੀ	Mohammad Fozuli
ਦਰੀ ਫ਼ਾਰਸੀ	Dari
ਨੰਗਰਹਾਰ ਸੂਬਾ	Nangarhar (provins)
ਬਾਖ਼ਾ ਕੈਲੀਫ਼ੋਰਨੀਆ ਪਰਾਇਦੀਪ	Baja California (halvö)
ਜੂਰਾ ਪਹਾੜ	Jurabergen
ਮੁੱਲਾਂ ਨਸਰੁੱਦੀਨ	Nasreddin hodja
ਮਿੱਤਾਨੀ ਸਾਮਰਾਜ	Mitanni
ਡਬਲਿਊ ਐਚ ਆਡੇਨ	W.H. Auden
ਆਸਟਰੇਲੀਆ ਦੇ ਰਾਜ ਅਤੇ ਰਾਜਖੇਤਰ	Australiens delstater och territorier
ਅਦਵੈਤਵਾਦ	Monism
ਕੌਮਾਂਤਰੀ ਵਪਾਰ	Internationell handel
ਸੀਰੀਆਈ ਖ਼ਾਨਾਜੰਗੀ	Syriska inbördeskriget
ਰੁਪਿਆ	Rupie
ਸੌ ਸਾਲ ਦਾ ਇਕਲਾਪਾ	Hundra år av ensamhet
ਦੇਵਤਾ	Gudom
ਖਜੁਰਾਹੋ	Khajuraho
ਆਸਟਰੇਲੀਆਈ ਅੰਟਾਰਕਟਿਕ ਰਾਜਖੇਤਰ	Australiska Antarktis
ਦ ਐਲਕਮਿਸਟ (ਨਾਵਲ)	Alkemisten
ਫ਼ਰਾਂਸੀਸੀ ਬਸਤੀਵਾਦੀ ਸਾਮਰਾਜ	Franska kolonialimperiet
ਲੀਸਾ ਕੂਡਰੋ	Lisa Kudrow
ਫ਼ਤਿਹਪੁਰ ਸੀਕਰੀ	Fatehpur Sikri
ਸੱਟਾ ਬਜ਼ਾਰ	Börs
ਰੋਲਾਂ ਬਾਰਥ	Roland Barthes
ਜੌਨ ਰਸਕਿਨ	John Ruskin
ਰੂਸੀ ਸਾਹਿਤ	Ryskspråkig litteratur
ਇਕਾਤਮਕ ਦੇਸ਼	Enhetsstat
ਬਣਤਰਵਾਦ	Strukturalism
ਗੂਗਨਹਾਈਮ ਅਜਾਇਬ-ਘਰ ਬੀਲਬਾਓ	Guggenheimmuseet, Bilbao
ਮਸਦਰ (ਵਿਆਕਰਨ)	Infinitiv
ਜਿੱਦੂ ਕ੍ਰਿਸ਼ਨਾਮੂਰਤੀ	Jiddu Krishnamurti
ਜਿਓਵਾਨੀ ਪਾਲਿਸਤਰੀਨਾ	Giovanni Pierluigi da Palestrina
ਕਾਰਨਤਾ	Kausalitet
ਧੱਕੇਸ਼ਾਹੀ	Despotism
ਰਾਬਰਟ ਓਵਨ	Robert Owen
ਚਾਰਲਸ ਐਲਬਰਟ ਗੋਬਾਟ	Albert Gobat
ਔਲੀਵਰ ਸਟੋਨ	Oliver Stone
ਅਲੈਗਜ਼ਾਂਦਰਾ ਕੋਲੋਨਤਾਈ	Aleksandra Kollontaj
ਅਟਾਹੁਆਲਪਾ	Atahualpa
ਤਾਰਿਆਂ ਦੀ ਸ਼੍ਰੇਣੀਆਂ	Spektraltyp
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ ਵਟਾਂਦਰਾਯੋਗ ਮਾਰਕ	Konvertibilna marka
ਐਮ (ਸਿਰਿਲਿਕ)	М
ਇਲਾਜ	Terapi
ਕੌਮੀ ਰਾਜ	Nationalstat
ਮਿੱਠਾ ਸੋਡਾ	Natriumvätekarbonat
ਥੀਸਾਰਸ ਕੋਸ਼	Synonymordbok
ਰਾਜਨੀਤਕ ਦਰਸ਼ਨ	Politisk filosofi
ਤਿੱਬਤੀ ਪਠਾਰ	Tibetanska högplatån
ਅਫ਼ਰੀਕਾ ਲਈ ਧੱਕਾ-ਮੁੱਕੀ	Kapplöpningen om Afrika
ਟਸੇ (ਸਿਰਿਲਿਕ)	Ц
ਖਾ (ਸਿਰਿਲਿਕ)	Х
ਊ (ਸਿਰਿਲਿਕ)	У
ਐਸ (ਸਿਰਿਲਿਕ)	С
ਕਿੰਗਡਮ ਆਫ਼ ਇੰਗਲੈਂਡ	Kungariket England
ਰੇਤ ਘੜੀ	Timglas
ਕਾਕਾਪੋ	Kakapo
ਉੱਤਰੀ ਖ਼ੁਰਾਸਾਨ ਸੂਬਾ	Nordkhorasan
ਮਾਰਗਰੈੱਟ ਮੀਡ	Margaret Mead
ਏ ਐੱਸ ਮੋਨਾਕੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	AS Monaco FC
ਰੀਜਿਕਨ	Rēzekne
ਫ਼੍ਰੈਡ੍ਰਿਕ ਪਾਸੀ	Frédéric Passy
ਗਜ਼ਨੀ ਸੂਬਾ	Ghazni (provins)
ਰੌਸ ਕਾਊਂਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Ross County FC
ਹਰਿਮੰਦਰ ਸਾਹਿਬ	Gyllene templet
ਅਨਖ	Ankh
ਗੋਦ ਲੈਣਾ	Adoption
ਅਲਾਸਕਾ ਦੀ ਖਾੜੀ	Alaskagolfen
ਫਿਲਿਪ ਸੀਮੌਰ ਹਾਫਮੈਨ	Philip Seymour Hoffman
ਰੁਮਾਲ	Sjalett
ਬੱਦੂ ਲੋਕ	Beduiner
ਆਈਰਨ ਮੈਨ	Iron Man (seriefigur)
ਦੁਖੀਏ (ਨਾਵਲ)	Samhällets olycksbarn
ਲਿਓ ਵਿਗੋਤਸਕੀ	Lev Vygotskij
ਕਾਰਪੈਂਟਰੀਆ ਦੀ ਖਾੜੀ	Carpentariaviken
ਸੌਰ ਪੁੰਜ	Solmassa
